,17:15-18:00,The Roof / זמן חופשי באזור,ליהנות מהנוף ומהמעבר לערב
,18:00-18:10,Hachiko Statue,"תמונה קצרה, לא יותר"
,18:10-18:30,Shibuya Crossing,לראות את הצומת המפורסם ולהמשיך
,18:30-19:00,שיטוט ערב בשיבויה,כשהאורות כבר דולקים
,19:00-20:45,Yakitori Tsukada Shibuya,ארוחת ערב יפנית טובה שמתאימה לקבוצה של 6
,20:45-22:30,ברים בשיבויה,Nonbei Yokocho / קוקטייל בר / בר מקומי
,22:30,חזרה למלון,סוף יום
יום,שעות,אטרקציה,הסבר
26.11,8:45,יציאה מהמלון,נוסעים לצוקיג'י לפני שהמקום נהיה עמוס.
,09:00-10:30,Tsukiji Outer Market,"שוק האוכל המפורסם של טוקיו. לא באים לקניות אלא לאכול ולטעום: סושי טרי, טונה, צדפות, אויסטרים, וואגיו על שיפוד, חביתה יפנית (Tamagoyaki), קינוחים ופירות יפניים. זה יותר Food Tour מאשר שוק."
,10:30-10:50,מעבר ל-Azabudai Hills,נסיעה קצרה ל-TeamLab.
,11:00-13:15,TeamLab Borderless,"אחד ההיילייטים של הטיול כולו. מוזיאון אמנות דיגיטלית ללא מסלול מוגדר. מסתובבים בין חדרים שבהם האמנות זזה, משתנה ומגיבה לנוכחות המבקרים.  "
,13:15-14:00,Azabudai Hills,"קומפלקס חדש ויוקרתי מאוד. אפשר לשבת לקפה, לאכול משהו קל ולהסתובב מעט במתחם."
,13:15-14:00,Christmas Market (אם מתקיים),"דוכני אוכל, תאורה חגיגית, עץ חג מולד גדול ואווירת כריסמס. נכון להיום התאריכים המדויקים ל-2026 עדיין לא אושרו, אבל בשנים האחרונות השוק פעל מסוף נובמבר.  "
,14:00-14:30,מעבר לגינזה,רכבת קצרה חזרה לאזור המלון.
,14:30-19:00,Ginza Shopping Block,"בלוק הקניות הגדול של הטיול. מומלץ לרכז כאן את רוב הקניות: Uniqlo Ginza, Loft, Itoya, Ginza Six, Onitsuka Tiger, קוסמטיקה, בגדים ומתנות."
,19:00-20:00,מלון ומנוחה,"להניח שקיות, להתקלח ולהתרענן."
,20:00-21:30,Dinner in Ginza,ערב רגוע אחרי יום עמוס. אין צורך כבר לרוץ לעוד אטרקציות.
,21:30+,בר / קוקטייל / חופשי,תלוי במצב הרוח והאנרגיה של הקבוצה.
יום,שעות,אטרקציה,הסבר
27.11,9:00,יציאה מהמלון,נוסעים לכיוון Asakusa.
,09:30-12:00,Asakusa + Senso-ji,"אחד המקומות החשובים בטוקיו. מקדש בודהיסטי מהמאה ה-7, שער Kaminarimon המפורסם, רחוב Nakamise וסמטאות מסורתיות. המקום הכי קרוב להרגשה של טוקיו הישנה."
,12:00-13:00,Lunch in Asakusa,"אזור מצוין לטמפורה, סובה או מסעדות יפניות מסורתיות."
,13:15-14:45,Akihabara,"בירת האלקטרוניקה והגיק-קאלצ'ר של יפן. גם אם אתם לא בעניין של אנימה, יש חנויות גאדג'טים, משחקים, מצלמות וטכנולוגיה שקשה למצוא במקומות אחרים."
,15:00-16:00,Ueno Park,"פארק גדול ונעים עם מקדשים, מוזיאונים ואווירה רגועה יותר מטוקיו העמוסה. הזדמנות לקחת נשימה לפני הערב."
,16:00-18:00,Ameyoko Market,"אחד המקומות שאני הכי חושב שתאהב. שוק רחוב צפוף וחי מתחת למסילת רכבת. אוכל רחוב, דוכנים, שווקים, מקומיים והמון אווירה. הרבה יותר אותנטי מ-Solamachi."
,18:00-19:00,חזרה למלון / מנוחה,מנוחה קצרה לפני ערב הסיום.
,20:00-22:30,Farewell Dinner,"ארוחת סיום חגיגית של הטיול. כאן הייתי שוקל משהו מיוחד יותר: Omakase Sushi, Teppanyaki או Wagyu ברמה גבוהה."
,22:30+,חזרה למלון,הלילה האחרון המלא ביפן.
28.11,שעות,אטרקציה,הסבר
,09:00-10:00,ארוחת בוקר + Check-out,השארת מזוודות במלון
,10:30-11:30,Zojo-ji Temple,מקדש מרשים עם Tokyo Tower ברקע
,11:30-12:30,Tokyo Tower,הסמל ההיסטורי של טוקיו
,12:30-13:30,Lunch,באזור המגדל
,13:30-15:30,Roppongi Hills,"רובע מודרני, בתי קפה, אדריכלות ואווירה"
,15:30-16:30,קניות אחרונות בגינזה (אם צריך),רק השלמות אחרונות
,16:30-17:00,חזרה למלון,איסוף מזוודות
,17:30,יציאה לנריטה,מספיק זמן להגיע 3 שעות לפני הטיסה
,22:20,טיסה הביתה,
